step,indices
10,"[3306, 1295, 2864, 4502, 2983, 4314, 1543, 113, 1136, 3951, 2167, 689, 1159, 1475, 830, 1300, 3681, 5239, 2496, 2038, 5098, 5257, 459, 5434, 4268, 414, 1099, 124, 1411, 3977, 5680, 4879, 4272, 351, 1118, 4960, 1928, 2677, 1863, 3898, 1519, 218, 5076, 5598, 705, 92, 3032, 3348, 1927, 3775, 4560, 2412, 3151, 4134, 5497, 5284, 3365, 1086, 5180, 4199, 1282, 1779, 5413, 78, 1686, 1184, 2440, 3728, 1756, 1448, 934, 3568, 2967, 598, 4019, 1401, 3087, 1960, 1816, 1306, 5174, 5143, 2486, 4255, 3665, 477, 4468, 2223, 1195, 1554, 3012, 895, 2861, 3335, 5703, 4095, 5533, 2635, 1588, 5567, 3481, 779, 3405, 3469, 4465, 1637, 4603, 358, 2851, 3045, 1047, 5690, 3382, 2760, 2148, 1822, 2114, 2633, 5030, 4452, 2865, 349, 2821, 996, 5109, 1712, 2304, 3850, 3900, 4746, 3801, 5539, 4752, 1910, 4551, 662, 4280, 1728, 2120, 1181, 5169, 4955, 4635, 248, 2652, 5768, 4547, 2047, 3708, 4144]"
11,"[3016, 2040, 1200, 3789, 2536, 1935, 929, 806, 5187, 4200, 5617, 4262, 3851, 657, 1577, 1540, 3434, 3308, 4007, 2871, 1267, 3287, 3901, 89, 5793, 2190, 1915, 5611, 1008, 2208, 3390, 5238, 5232, 1963, 4503, 3632, 4907, 703, 2295, 2080, 3769, 698, 1118, 2597, 4283, 5397, 5121, 3846, 1564, 5667, 4171, 820, 269, 3500, 3541, 2832, 1972, 3762, 3457, 2076, 4395, 996, 4369, 5312, 1451, 1878, 1871, 758, 1151, 2380, 2765, 2977, 1864, 4819, 3368, 1753, 325, 2679, 2965, 1604, 3753, 642, 5059, 5343, 116, 3909, 390, 5291, 3641, 1843, 2874, 2272, 3256, 5219, 1764, 3128, 917, 1046, 832, 2911, 891, 4393, 2817, 2531, 4985, 3560, 953, 889, 5737, 2621, 102, 631, 734, 5361, 132, 4097, 2376, 5540, 3215, 4382, 3970, 5277, 1998, 2732, 2277, 4534, 1667, 3922, 342, 1525, 5136, 5711, 1058, 4372, 3888, 4957, 2720, 5593, 4943, 5747, 4483, 981, 1934, 5128, 2578, 4726, 897, 511, 1677, 3848]"
12,"[973, 776, 5192, 5530, 3897, 916, 853, 2608, 3005, 2942, 1359, 494, 2210, 1921, 4583, 1634, 746, 5215, 2040, 3945, 1014, 1466, 2408, 808, 4904, 2139, 2817, 4637, 3835, 721, 4522, 5291, 4670, 2590, 3607, 1588, 3110, 2483, 3879, 5304, 1591, 3419, 283, 4813, 1984, 1729, 2814, 4738, 2258, 304, 2376, 1163, 3831, 3249, 1502, 2162, 3404, 4906, 1243, 1966, 69, 5138, 1339, 3446, 195, 5144, 4109, 3255, 1761, 2713, 1619, 2289, 590, 1735, 4268, 1613, 2211, 1434, 3507, 697, 2968, 1856, 5292, 2686, 2581, 3923, 4935, 1573, 2027, 5121, 1237, 4282, 3650, 4552, 1769, 5546, 1305, 5457, 4685, 1388, 3447, 5787, 1511, 381, 4722, 1126, 3177, 3544, 4238, 4835, 4506, 4061, 3699, 1946, 2175, 1919, 3555, 5775, 937, 4366, 517, 1447, 5354, 1516, 4884, 4189, 1115, 679, 4293, 3209, 4068, 3240, 5734, 4387, 4048, 4534, 626, 152, 3810, 3409, 3050, 3337, 2388, 2171, 5094, 2324, 2519, 4402, 1482, 652]"
13,"[1992, 5459, 2985, 2397, 794, 2955, 4854, 304, 3839, 5226, 5364, 4818, 1619, 5150, 3040, 3571, 3904, 4889, 4136, 3458, 3271, 2506, 1864, 5033, 4751, 1996, 1469, 5711, 5770, 2439, 409, 5276, 4688, 5073, 5511, 2229, 5043, 3376, 2633, 2023, 1154, 1900, 5192, 4375, 1488, 591, 5514, 972, 1751, 2091, 4009, 5756, 4983, 1364, 5046, 3132, 5569, 4579, 1687, 869, 5360, 1581, 4391, 635, 4245, 3438, 3857, 3112, 2752, 4120, 5508, 3559, 2788, 4483, 3755, 5772, 2880, 5219, 3510, 695, 1174, 5303, 2706, 4763, 1604, 1533, 5482, 3994, 97, 859, 3694, 2983, 1615, 5338, 2815, 2757, 890, 569, 2093, 3944, 5400, 3643, 2504, 1850, 5456, 3181, 1658, 3566, 290, 2834, 2121, 3195, 469, 1013, 5727, 273, 817, 4741, 3628, 5356, 5149, 5247, 4576, 2861, 925, 3921, 4140, 1333, 116, 4962, 3415, 3934, 70, 2709, 1731, 1851, 3357, 1762, 560, 5601, 5614, 2615, 2746, 306, 2012, 5628, 2950, 3337, 3620, 3383]"
14,"[3906, 5691, 3131, 105, 842, 2378, 5206, 2078, 3653, 5328, 1793, 2886, 426, 2760, 5656, 526, 1474, 4834, 5589, 1708, 5306, 5378, 728, 5495, 2158, 2974, 4270, 5089, 37, 5036, 2841, 5569, 2757, 1645, 3925, 1416, 1221, 4581, 3146, 1750, 460, 3917, 740, 1806, 3334, 693, 2962, 3729, 4238, 1960, 3543, 1246, 4432, 5179, 5764, 254, 4372, 210, 2623, 1178, 2208, 4724, 1318, 4132, 1229, 2703, 5634, 4235, 1616, 65, 1978, 4973, 4444, 1243, 1833, 616, 3188, 2706, 2316, 2531, 4685, 4531, 2290, 2816, 1275, 80, 5083, 4666, 1026, 294, 744, 1527, 2651, 5383, 4361, 4303, 2625, 1093, 3395, 1578, 4619, 1890, 3598, 691, 5225, 2383, 453, 4886, 708, 201, 540, 4027, 1950, 1168, 3864, 3656, 2562, 3535, 2275, 2658, 885, 2489, 2646, 2183, 5342, 5276, 30, 3385, 5389, 3217, 180, 319, 4057, 2467, 891, 5185, 195, 2248, 3678, 3397, 4462, 2858, 2267, 4879, 5116, 2920, 1086, 2717, 2603, 2182]"
15,"[3279, 5144, 2946, 1999, 3554, 4492, 1849, 2306, 118, 2906, 770, 5327, 2783, 3028, 411, 4124, 355, 5250, 1454, 508, 3107, 2853, 3591, 3455, 5112, 248, 800, 2537, 2042, 2523, 3760, 3758, 2157, 4933, 1763, 331, 1082, 2781, 1954, 5096, 1550, 1580, 5221, 3962, 3282, 5179, 4249, 5320, 1451, 5662, 1622, 2337, 1422, 5432, 5126, 4386, 393, 727, 1392, 1542, 4440, 4579, 3349, 608, 177, 4072, 4753, 353, 2087, 4100, 3939, 4347, 3850, 4447, 1681, 2807, 1047, 3476, 4840, 1400, 3064, 4148, 37, 3822, 3393, 3632, 5416, 5374, 5349, 4209, 4007, 5478, 1578, 4833, 758, 41, 1369, 3390, 5525, 3374, 5174, 2654, 4743, 3458, 5631, 5009, 3905, 80, 4912, 580, 401, 2505, 3751, 3313, 5750, 3749, 240, 2583, 263, 1490, 5783, 3434, 3530, 2209, 3217, 4776, 2964, 3429, 1858, 3648, 998, 5608, 2760, 3937, 1889, 1644, 1286, 1113, 755, 3469, 1164, 927, 4332, 1912, 532, 3214, 2203, 934, 2326, 5721]"
16,"[4751, 5643, 962, 5490, 1683, 2844, 3410, 5279, 2871, 101, 4676, 2786, 414, 1434, 2042, 1834, 2637, 5645, 2274, 5741, 5348, 3213, 152, 4726, 5046, 2620, 4162, 1302, 4543, 2104, 4966, 3013, 1048, 1045, 4245, 320, 252, 272, 3402, 5085, 5566, 1715, 4270, 4785, 2413, 3221, 2149, 2058, 3602, 2374, 5697, 1520, 2841, 1747, 5625, 1582, 747, 581, 4143, 2924, 1090, 2745, 5466, 2558, 2656, 3263, 377, 2784, 2028, 4679, 4167, 5189, 5638, 2783, 3944, 3525, 5239, 5584, 1230, 4068, 4497, 1615, 4509, 5336, 2967, 1130, 5636, 391, 2248, 187, 971, 170, 1002, 2474, 1777, 3462, 561, 4892, 4525, 805, 5684, 2944, 156, 1453, 4166, 787, 1918, 3646, 2464, 2448, 4309, 4050, 2152, 5644, 3422, 5627, 527, 3487, 2314, 2108, 3827, 5611, 626, 330, 4488, 4630, 1437, 3910, 1780, 3380, 4368, 1837, 4753, 4134, 5749, 4562, 3735, 4450, 3897, 5283, 4145, 2196, 1543, 2273, 2748, 3253, 1677, 2048, 2226, 1364]"
17,"[1655, 3184, 5463, 2245, 2335, 2799, 1238, 2718, 3291, 2175, 1988, 4715, 3045, 1229, 576, 5789, 1773, 3026, 1579, 2692, 5580, 3387, 3679, 3275, 3116, 3238, 2932, 2832, 5576, 2357, 811, 1092, 520, 3889, 4185, 4016, 941, 297, 5263, 4929, 1815, 3501, 2102, 3548, 4662, 1990, 4080, 3115, 2215, 3836, 2353, 5340, 800, 4420, 2179, 1522, 3404, 1723, 5077, 534, 3633, 4668, 4107, 1562, 1573, 3103, 4841, 366, 2768, 5206, 2061, 2323, 816, 1609, 2254, 2413, 1219, 3781, 709, 2685, 5506, 1204, 4906, 2842, 1628, 529, 1082, 4592, 2105, 1950, 2106, 4881, 1281, 1451, 3477, 117, 5747, 4988, 3473, 2703, 3061, 191, 4461, 3835, 4775, 3158, 1041, 2027, 5737, 4534, 4276, 2850, 3810, 163, 3767, 876, 2198, 1413, 238, 875, 1163, 5772, 4469, 5329, 5725, 5165, 1854, 1147, 2945, 1888, 3879, 2722, 4874, 3936, 5622, 4486, 2520, 1742, 4271, 5415, 3468, 3846, 1987, 418, 5371, 2881, 4703, 2485, 2406, 1605]"
18,"[2758, 786, 1975, 4006, 5138, 5777, 3420, 2949, 2581, 4845, 5135, 4248, 3987, 706, 2630, 5475, 2422, 4260, 4688, 2621, 3437, 1195, 5373, 333, 1161, 5811, 4666, 4362, 1990, 5511, 4982, 3277, 4123, 3189, 4004, 4655, 3791, 3739, 1244, 1183, 3658, 1237, 5078, 3577, 3556, 4507, 2793, 5682, 952, 1632, 3574, 4045, 2415, 872, 2727, 4339, 4637, 2507, 4080, 995, 3041, 2401, 3076, 1646, 62, 16, 3159, 5342, 637, 1355, 5653, 5141, 2593, 1090, 2601, 1511, 1504, 4015, 5233, 2518, 4790, 1841, 4353, 3993, 1681, 472, 406, 5046, 5165, 1455, 431, 558, 2437, 2876, 1908, 934, 3836, 616, 2219, 4198, 4854, 645, 1149, 1154, 5241, 5284, 5331, 682, 3272, 3443, 3030, 608, 3252, 445, 838, 1777, 1885, 1589, 4475, 1100, 3930, 4436, 2698, 4269, 4266, 5001, 481, 4884, 3492, 3936, 3607, 1907, 3895, 3099, 5350, 3747, 4651, 3200, 5216, 1053, 1993, 2011, 2346, 81, 1019, 430, 47, 181, 895, 1136]"
19,"[761, 48, 2138, 1270, 4911, 5058, 5707, 3004, 5121, 5639, 3261, 1689, 1437, 1418, 4071, 5193, 1529, 2835, 376, 1222, 5414, 5515, 4727, 2339, 2673, 3049, 5180, 4841, 4195, 4224, 1467, 5140, 5274, 5128, 2563, 3401, 1121, 3498, 197, 4210, 707, 5475, 3161, 5185, 3896, 2560, 2683, 5077, 4778, 3420, 1860, 1340, 2304, 2510, 2376, 33, 4585, 994, 4902, 3192, 4692, 23, 2097, 1942, 1029, 357, 4594, 4076, 2845, 3708, 4879, 1658, 2754, 4131, 5770, 5774, 5373, 4632, 864, 373, 2475, 3278, 3955, 515, 2326, 4992, 5224, 5533, 1434, 4099, 4367, 2662, 566, 4202, 2291, 3296, 4205, 5437, 4465, 1510, 5441, 2687, 483, 3654, 5609, 2272, 4082, 902, 3683, 3471, 3024, 2502, 251, 3239, 2858, 3363, 2889, 5359, 3259, 1241, 2327, 4325, 2087, 4524, 2356, 1663, 949, 3490, 892, 2165, 1025, 4733, 123, 4024, 2211, 1593, 5709, 2249, 5664, 71, 3545, 1551, 997, 5122, 224, 2771, 356, 1283, 201, 2092]"
20,"[4875, 340, 4689, 1591, 3920, 2952, 3976, 4441, 2687, 750, 328, 5590, 1462, 2136, 5695, 669, 3739, 2142, 640, 3543, 3082, 5562, 3803, 2191, 4528, 2134, 1109, 2679, 1271, 1372, 3926, 389, 2564, 2457, 2092, 3329, 2513, 3072, 1085, 986, 2954, 1480, 5502, 1224, 3700, 2867, 2268, 4849, 2842, 2505, 1701, 4162, 1024, 1163, 3279, 5285, 4729, 3336, 915, 4074, 4396, 2777, 2659, 2100, 4302, 4115, 4616, 944, 4890, 5019, 416, 4718, 5189, 2844, 3461, 4422, 5399, 709, 5663, 2831, 135, 2727, 2672, 2737, 5604, 4129, 1530, 5518, 5470, 494, 3671, 683, 152, 2968, 3379, 5617, 2243, 4595, 5427, 2106, 2500, 1377, 882, 417, 400, 318, 582, 5805, 2097, 3982, 371, 1222, 2758, 728, 2783, 3595, 2171, 2536, 3822, 1448, 4329, 2931, 2775, 2180, 4908, 3538, 3303, 3902, 615, 2967, 722, 2082, 3381, 2318, 1031, 307, 3824, 4341, 954, 4765, 4183, 5473, 3945, 5421, 2631, 2756, 3518, 3021, 2612, 5386]"
21,"[1889, 325, 4660, 5725, 2620, 3915, 2501, 5192, 617, 3651, 4292, 145, 2680, 2103, 1139, 4367, 3394, 1142, 1941, 4694, 128, 2029, 5587, 5788, 5352, 4431, 3272, 2249, 1441, 803, 1867, 1773, 393, 2210, 2285, 4319, 341, 5559, 164, 4811, 4445, 160, 3843, 3684, 3264, 333, 5207, 4673, 5456, 3564, 5121, 1429, 2773, 3116, 961, 4530, 5371, 3538, 5114, 3018, 94, 2101, 5438, 828, 580, 5054, 3652, 4374, 3862, 692, 1950, 3821, 2704, 2550, 2113, 1415, 2729, 84, 2140, 3000, 2067, 2350, 5543, 74, 562, 2023, 2138, 3236, 574, 80, 3361, 2635, 5509, 3602, 303, 2327, 1636, 5132, 3006, 2123, 4336, 3949, 5080, 5385, 1014, 2716, 801, 5495, 5634, 1693, 175, 4284, 4752, 1413, 2027, 2358, 2344, 2954, 5341, 4989, 1, 5612, 3747, 3028, 3012, 3753, 1505, 5820, 328, 2741, 4448, 2919, 908, 4331, 1705, 1282, 2339, 5021, 1602, 3189, 5221, 1219, 4813, 1030, 4252, 2176, 3180, 5459, 680, 2778]"
22,"[5065, 838, 4383, 5471, 3349, 1928, 5248, 4834, 3013, 5573, 190, 5589, 3810, 1875, 3938, 3783, 2320, 3581, 376, 576, 3105, 63, 1956, 3676, 4900, 5008, 5467, 3578, 5528, 3153, 387, 219, 2859, 5519, 703, 468, 4212, 4013, 3275, 1159, 5135, 55, 5521, 4933, 5434, 137, 5712, 2186, 2766, 4208, 1313, 4234, 281, 4600, 2958, 5091, 5403, 471, 1489, 5050, 331, 2511, 3523, 475, 4574, 2577, 4842, 5604, 2093, 2950, 5706, 3792, 5744, 1628, 3359, 1331, 134, 757, 2964, 3048, 4015, 3268, 4018, 2014, 2455, 1144, 864, 1350, 3648, 3739, 2348, 1688, 1822, 2752, 1951, 3960, 4386, 937, 1028, 808, 3901, 2279, 3625, 1414, 4336, 15, 4130, 3421, 2398, 2164, 3300, 2588, 4417, 972, 4288, 5329, 4864, 2162, 4020, 2200, 5014, 4252, 4069, 1227, 5664, 1978, 4180, 3128, 1625, 99, 4907, 4675, 3223, 1493, 197, 1583, 5321, 4444, 5000, 4219, 4861, 5817, 5738, 87, 1826, 1457, 4278, 3777, 2100, 4078]"
23,"[1295, 2720, 2236, 1003, 3439, 3880, 1759, 4844, 5551, 3107, 4175, 4282, 1074, 2204, 5148, 5351, 4065, 1816, 2174, 3343, 4449, 932, 248, 5412, 965, 807, 5395, 2606, 549, 2162, 2714, 1686, 847, 3321, 4453, 1303, 3082, 3422, 3999, 895, 5499, 5509, 5222, 1886, 5475, 318, 2928, 4775, 3800, 1283, 3215, 3574, 124, 924, 3276, 4380, 4407, 2535, 5467, 3468, 1657, 4842, 4480, 2729, 2488, 685, 3857, 4074, 2023, 4220, 516, 2874, 2742, 1615, 1398, 4825, 3210, 2334, 834, 883, 1307, 947, 3070, 2867, 2076, 710, 4394, 4555, 4769, 279, 5675, 2484, 1312, 4969, 5618, 867, 5160, 5103, 3774, 2517, 5385, 5059, 4919, 638, 2990, 1299, 3510, 2573, 582, 3598, 5246, 3388, 5319, 5278, 4680, 5295, 5447, 2630, 1288, 5094, 4357, 799, 2103, 2988, 176, 3112, 2304, 341, 2354, 493, 4889, 4693, 746, 3442, 2219, 2355, 2104, 4618, 1746, 1342, 3592, 342, 1735, 2730, 5035, 3702, 4284, 1410, 2337, 352]"
24,"[1221, 3136, 3320, 3401, 4683, 3414, 4488, 5203, 1162, 1014, 3994, 4331, 4974, 4721, 2094, 3008, 4400, 1660, 5015, 1723, 4793, 2649, 4232, 3861, 2645, 3790, 5424, 3211, 3949, 1002, 4985, 4006, 2157, 1684, 560, 3758, 3080, 1451, 4092, 4001, 1406, 349, 229, 2279, 4741, 2240, 1525, 4783, 5758, 4603, 4977, 213, 4691, 501, 1145, 5088, 1245, 5122, 1112, 3539, 4627, 545, 1679, 1018, 1182, 3688, 1067, 346, 1493, 2455, 634, 1201, 1204, 4449, 5138, 23, 2728, 1812, 283, 940, 2867, 5018, 926, 4784, 3691, 3745, 4897, 5134, 2206, 5352, 5130, 3944, 1054, 5767, 2071, 4615, 1926, 3547, 4261, 3742, 3693, 2893, 5443, 3694, 1042, 2849, 5506, 2330, 5081, 4017, 1531, 1912, 141, 3213, 5119, 736, 2357, 5391, 3422, 1174, 506, 4955, 4887, 1749, 3185, 2262, 3732, 3726, 1037, 2934, 993, 4536, 2164, 4707, 3706, 4746, 3116, 858, 3400, 1170, 1372, 4631, 1289, 2284, 1409, 3404, 4612, 1916, 2746, 2114]"
25,"[217, 2851, 2731, 2422, 3052, 510, 2028, 3573, 5809, 2373, 4091, 2594, 3826, 854, 1450, 2893, 802, 62, 4622, 1461, 5695, 4517, 3388, 4140, 4255, 2186, 5626, 1846, 2704, 2381, 4544, 5448, 381, 1444, 4108, 2072, 5438, 4819, 5134, 1804, 3242, 3016, 3055, 2846, 602, 4359, 4426, 5276, 2438, 3173, 4131, 4834, 2711, 863, 5619, 655, 1382, 4767, 1915, 916, 5237, 4363, 5130, 3725, 5788, 1011, 3951, 5068, 3313, 249, 1999, 3955, 5122, 4304, 1586, 3287, 2, 4056, 1313, 2242, 3529, 5661, 3425, 456, 1725, 5650, 793, 2177, 2755, 595, 245, 5002, 2460, 4564, 21, 3480, 1437, 2046, 1430, 1647, 4783, 2812, 2300, 1646, 4385, 2651, 4898, 3687, 3849, 71, 2258, 3263, 5154, 4904, 2913, 33, 162, 5699, 518, 4281, 3085, 1738, 1370, 354, 3943, 4459, 5476, 1051, 3139, 665, 3020, 969, 3406, 119, 5208, 316, 3284, 2184, 1945, 4652, 2896, 4541, 5471, 4862, 5313, 2610, 50, 3926, 3187, 4202]"
26,"[281, 3390, 535, 4766, 4026, 156, 2601, 4910, 2689, 675, 5660, 3432, 3689, 773, 3565, 4113, 1583, 3688, 3526, 2169, 5701, 5423, 3103, 3145, 2222, 706, 2932, 5272, 1509, 1720, 506, 1525, 5764, 1407, 2851, 59, 1199, 1631, 5083, 3240, 4272, 4639, 1796, 5108, 1126, 5382, 1834, 2785, 5536, 3131, 33, 2315, 5019, 1162, 5723, 4677, 1009, 2609, 2728, 2742, 2760, 4366, 1561, 5758, 5742, 4629, 3296, 486, 3123, 1780, 3378, 5678, 5353, 984, 5691, 4546, 3032, 405, 5286, 934, 23, 4229, 4940, 2023, 5411, 2963, 5784, 5374, 1308, 146, 3996, 4929, 2136, 1420, 4209, 1859, 4013, 3734, 4422, 5680, 54, 5585, 2491, 5517, 4042, 642, 3010, 5026, 1322, 5749, 3502, 1214, 700, 2174, 1374, 5668, 2141, 355, 1516, 1781, 973, 1904, 2513, 1989, 4634, 4937, 1520, 1000, 2990, 120, 5388, 4205, 2710, 197, 2526, 3695, 460, 3430, 1514, 1994, 4177, 1036, 2685, 5260, 400, 1041, 2146, 4194, 689, 3421]"
27,"[1070, 5808, 4769, 5381, 602, 4916, 1381, 4719, 5298, 667, 173, 5133, 3803, 249, 3941, 458, 4058, 5099, 5614, 997, 2047, 2868, 4385, 1609, 1274, 5255, 415, 4759, 4374, 5573, 2791, 4341, 1560, 2560, 1290, 406, 3610, 3738, 578, 35, 1948, 5591, 4587, 4185, 3971, 1461, 582, 5085, 5709, 5510, 4035, 3334, 342, 745, 640, 4865, 1410, 2811, 1197, 399, 1806, 2413, 754, 1738, 4360, 5034, 2713, 5363, 3702, 3312, 2230, 5528, 5579, 4221, 4377, 710, 1288, 4635, 2566, 5484, 158, 905, 4930, 4613, 5429, 701, 2839, 2443, 5620, 4405, 4128, 5693, 374, 913, 1431, 3188, 3389, 44, 3457, 3309, 4553, 1203, 2686, 1002, 3458, 1534, 4479, 3271, 2180, 3612, 5763, 1727, 4228, 257, 3306, 5539, 355, 4798, 4289, 1531, 2028, 261, 1458, 1986, 4229, 2650, 1884, 1816, 5021, 4412, 1949, 1639, 3301, 1521, 3310, 5245, 248, 232, 3854, 972, 1854, 529, 2873, 1494, 1513, 5384, 3241, 4283, 4419, 2773]"
28,"[4751, 5500, 5616, 1275, 2894, 4796, 3829, 4039, 5186, 4329, 2163, 359, 4, 5285, 2829, 3796, 1750, 601, 3739, 3959, 2961, 1583, 2288, 3698, 1035, 3435, 4603, 4219, 1323, 305, 3731, 4775, 3965, 5264, 4092, 5323, 2672, 324, 5372, 1479, 4703, 1267, 2964, 4126, 2294, 3581, 3928, 5202, 5104, 1165, 3145, 4325, 679, 508, 746, 3489, 119, 612, 67, 3614, 3947, 100, 5553, 3025, 4935, 4434, 4198, 5187, 1211, 1989, 3865, 3915, 3417, 353, 2748, 4529, 632, 4420, 3834, 1519, 423, 3022, 1885, 1846, 2707, 5079, 1333, 4917, 3, 1672, 2035, 2742, 3311, 4103, 5367, 2648, 4383, 985, 2988, 2627, 729, 4756, 1185, 1464, 2497, 3688, 4800, 3137, 4651, 1820, 5094, 2086, 3460, 4074, 3938, 3625, 5259, 1186, 4711, 2602, 1950, 4706, 4657, 2426, 3990, 2357, 628, 2625, 864, 1881, 3033, 4385, 3522, 2152, 4097, 179, 1588, 3078, 3275, 829, 468, 5195, 5485, 4191, 592, 5009, 308, 1631, 58, 4171]"
29,"[2983, 4135, 2179, 4539, 3701, 575, 778, 1967, 1380, 4972, 1185, 3998, 3279, 4023, 610, 4978, 4078, 1646, 4500, 2081, 354, 4525, 267, 5637, 4938, 3825, 279, 2337, 4960, 4256, 4588, 744, 3812, 4672, 365, 937, 798, 4531, 4884, 2016, 2494, 2473, 2251, 5748, 2267, 2716, 4385, 2249, 1747, 898, 503, 385, 3607, 1524, 2187, 5274, 4842, 407, 3903, 632, 3637, 322, 1698, 4484, 3626, 2193, 3869, 2001, 952, 4503, 4945, 4620, 5003, 2591, 142, 3077, 5051, 2135, 5547, 1004, 4307, 5021, 857, 5106, 2375, 3387, 21, 3170, 4659, 1921, 2117, 5267, 3015, 2779, 2706, 1543, 4371, 4025, 2191, 4368, 1776, 657, 850, 5342, 3698, 1189, 235, 1992, 2744, 3704, 1064, 4847, 3613, 3912, 2928, 3008, 367, 5000, 4026, 1396, 3907, 4593, 5777, 4786, 1422, 1825, 421, 4676, 494, 1868, 224, 3894, 5135, 1462, 5603, 271, 976, 2844, 3872, 598, 3245, 722, 3972, 790, 2463, 5734, 5600, 1699, 5231, 518]"
30,"[58, 1815, 2396, 2714, 4528, 2540, 3101, 848, 476, 4861, 4001, 3339, 110, 4822, 2366, 5666, 738, 1772, 34, 665, 3772, 3068, 3180, 5631, 4449, 905, 5740, 195, 5772, 2736, 867, 4359, 3590, 333, 5378, 5188, 2765, 5425, 1312, 1012, 1828, 5625, 4924, 1188, 5647, 3299, 1419, 4926, 3366, 1824, 5775, 2740, 3086, 1664, 1405, 4531, 743, 1639, 3381, 5394, 1141, 5800, 4215, 3227, 5320, 721, 2047, 3509, 3434, 5468, 5268, 4540, 4543, 4222, 328, 269, 3106, 206, 996, 2656, 5703, 893, 1918, 2467, 599, 3051, 2704, 137, 4685, 4396, 153, 4819, 1932, 4128, 2091, 1491, 397, 2325, 4638, 2102, 1052, 514, 3688, 939, 3238, 2571, 4071, 5360, 5365, 5280, 1965, 431, 3663, 3094, 3184, 2346, 5196, 2149, 2429, 2601, 925, 1087, 4037, 2148, 4369, 1271, 1839, 4914, 1548, 984, 2235, 465, 2698, 3139, 2045, 202, 682, 5176, 4141, 4192, 5134, 5238, 5815, 890, 5528, 2778, 5816, 3934, 1484, 428]"
