step,indices
10,"[3306, 1295, 2864, 4502, 2983, 4314, 1543, 113, 1136, 3951, 2167, 689, 1159, 1475, 830, 1300, 3681, 5239, 2496, 2038, 5098, 5257, 459, 5434, 4268, 414, 1099, 124, 1411, 3977, 5680, 4879, 4272, 351, 1118, 4960, 1928, 2677, 1863, 3898, 1519, 218, 5076, 5598, 705, 92, 3032, 3348, 1927, 3775, 4560, 2412, 3151, 4134, 5497, 5284, 3365, 1086, 5180, 4199, 1282, 1779, 5413, 78, 1686, 1184, 2440, 3728, 1756, 1448, 934, 3568, 2967, 598, 4019, 1401, 3087, 1960, 1816, 1306, 5174, 5143, 2486, 4255, 3665, 477, 4468, 2223, 1195, 1554, 3012, 895, 2861, 3335, 5703, 4095, 5533, 2635, 1588, 5567]"
11,"[3016, 2040, 1200, 3789, 2536, 1935, 929, 806, 5187, 4200, 5617, 4262, 3851, 657, 1577, 1540, 3434, 3308, 4007, 2871, 1267, 3287, 3901, 89, 5793, 2190, 1915, 5611, 1008, 2208, 3390, 5238, 5232, 1963, 4503, 3632, 4907, 703, 2295, 2080, 3769, 698, 1118, 2597, 4283, 5397, 5121, 3846, 1564, 5667, 4171, 820, 269, 3500, 3541, 2832, 1972, 3762, 3457, 2076, 4395, 996, 4369, 5312, 1451, 1878, 1871, 758, 1151, 2380, 2765, 2977, 1864, 4819, 3368, 1753, 325, 2679, 2965, 1604, 3753, 642, 5059, 5343, 116, 3909, 390, 5291, 3641, 1843, 2874, 2272, 3256, 5219, 1764, 3128, 917, 1046, 832, 2911]"
12,"[973, 776, 5192, 5530, 3897, 916, 853, 2608, 3005, 2942, 1359, 494, 2210, 1921, 4583, 1634, 746, 5215, 2040, 3945, 1014, 1466, 2408, 808, 4904, 2139, 2817, 4637, 3835, 721, 4522, 5291, 4670, 2590, 3607, 1588, 3110, 2483, 3879, 5304, 1591, 3419, 283, 4813, 1984, 1729, 2814, 4738, 2258, 304, 2376, 1163, 3831, 3249, 1502, 2162, 3404, 4906, 1243, 1966, 69, 5138, 1339, 3446, 195, 5144, 4109, 3255, 1761, 2713, 1619, 2289, 590, 1735, 4268, 1613, 2211, 1434, 3507, 697, 2968, 1856, 5292, 2686, 2581, 3923, 4935, 1573, 2027, 5121, 1237, 4282, 3650, 4552, 1769, 5546, 1305, 5457, 4685, 1388]"
13,"[1992, 5459, 2985, 2397, 794, 2955, 4854, 304, 3839, 5226, 5364, 4818, 1619, 5150, 3040, 3571, 3904, 4889, 4136, 3458, 3271, 2506, 1864, 5033, 4751, 1996, 1469, 5711, 5770, 2439, 409, 5276, 4688, 5073, 5511, 2229, 5043, 3376, 2633, 2023, 1154, 1900, 5192, 4375, 1488, 591, 5514, 972, 1751, 2091, 4009, 5756, 4983, 1364, 5046, 3132, 5569, 4579, 1687, 869, 5360, 1581, 4391, 635, 4245, 3438, 3857, 3112, 2752, 4120, 5508, 3559, 2788, 4483, 3755, 5772, 2880, 5219, 3510, 695, 1174, 5303, 2706, 4763, 1604, 1533, 5482, 3994, 97, 859, 3694, 2983, 1615, 5338, 2815, 2757, 890, 569, 2093, 3944]"
14,"[3906, 5691, 3131, 105, 842, 2378, 5206, 2078, 3653, 5328, 1793, 2886, 426, 2760, 5656, 526, 1474, 4834, 5589, 1708, 5306, 5378, 728, 5495, 2158, 2974, 4270, 5089, 37, 5036, 2841, 5569, 2757, 1645, 3925, 1416, 1221, 4581, 3146, 1750, 460, 3917, 740, 1806, 3334, 693, 2962, 3729, 4238, 1960, 3543, 1246, 4432, 5179, 5764, 254, 4372, 210, 2623, 1178, 2208, 4724, 1318, 4132, 1229, 2703, 5634, 4235, 1616, 65, 1978, 4973, 4444, 1243, 1833, 616, 3188, 2706, 2316, 2531, 4685, 4531, 2290, 2816, 1275, 80, 5083, 4666, 1026, 294, 744, 1527, 2651, 5383, 4361, 4303, 2625, 1093, 3395, 1578]"
15,"[3279, 5144, 2946, 1999, 3554, 4492, 1849, 2306, 118, 2906, 770, 5327, 2783, 3028, 411, 4124, 355, 5250, 1454, 508, 3107, 2853, 3591, 3455, 5112, 248, 800, 2537, 2042, 2523, 3760, 3758, 2157, 4933, 1763, 331, 1082, 2781, 1954, 5096, 1550, 1580, 5221, 3962, 3282, 5179, 4249, 5320, 1451, 5662, 1622, 2337, 1422, 5432, 5126, 4386, 393, 727, 1392, 1542, 4440, 4579, 3349, 608, 177, 4072, 4753, 353, 2087, 4100, 3939, 4347, 3850, 4447, 1681, 2807, 1047, 3476, 4840, 1400, 3064, 4148, 37, 3822, 3393, 3632, 5416, 5374, 5349, 4209, 4007, 5478, 1578, 4833, 758, 41, 1369, 3390, 5525, 3374]"
16,"[4751, 5643, 962, 5490, 1683, 2844, 3410, 5279, 2871, 101, 4676, 2786, 414, 1434, 2042, 1834, 2637, 5645, 2274, 5741, 5348, 3213, 152, 4726, 5046, 2620, 4162, 1302, 4543, 2104, 4966, 3013, 1048, 1045, 4245, 320, 252, 272, 3402, 5085, 5566, 1715, 4270, 4785, 2413, 3221, 2149, 2058, 3602, 2374, 5697, 1520, 2841, 1747, 5625, 1582, 747, 581, 4143, 2924, 1090, 2745, 5466, 2558, 2656, 3263, 377, 2784, 2028, 4679, 4167, 5189, 5638, 2783, 3944, 3525, 5239, 5584, 1230, 4068, 4497, 1615, 4509, 5336, 2967, 1130, 5636, 391, 2248, 187, 971, 170, 1002, 2474, 1777, 3462, 561, 4892, 4525, 805]"
17,"[1655, 3184, 5463, 2245, 2335, 2799, 1238, 2718, 3291, 2175, 1988, 4715, 3045, 1229, 576, 5789, 1773, 3026, 1579, 2692, 5580, 3387, 3679, 3275, 3116, 3238, 2932, 2832, 5576, 2357, 811, 1092, 520, 3889, 4185, 4016, 941, 297, 5263, 4929, 1815, 3501, 2102, 3548, 4662, 1990, 4080, 3115, 2215, 3836, 2353, 5340, 800, 4420, 2179, 1522, 3404, 1723, 5077, 534, 3633, 4668, 4107, 1562, 1573, 3103, 4841, 366, 2768, 5206, 2061, 2323, 816, 1609, 2254, 2413, 1219, 3781, 709, 2685, 5506, 1204, 4906, 2842, 1628, 529, 1082, 4592, 2105, 1950, 2106, 4881, 1281, 1451, 3477, 117, 5747, 4988, 3473, 2703]"
18,"[2758, 786, 1975, 4006, 5138, 5777, 3420, 2949, 2581, 4845, 5135, 4248, 3987, 706, 2630, 5475, 2422, 4260, 4688, 2621, 3437, 1195, 5373, 333, 1161, 5811, 4666, 4362, 1990, 5511, 4982, 3277, 4123, 3189, 4004, 4655, 3791, 3739, 1244, 1183, 3658, 1237, 5078, 3577, 3556, 4507, 2793, 5682, 952, 1632, 3574, 4045, 2415, 872, 2727, 4339, 4637, 2507, 4080, 995, 3041, 2401, 3076, 1646, 62, 16, 3159, 5342, 637, 1355, 5653, 5141, 2593, 1090, 2601, 1511, 1504, 4015, 5233, 2518, 4790, 1841, 4353, 3993, 1681, 472, 406, 5046, 5165, 1455, 431, 558, 2437, 2876, 1908, 934, 3836, 616, 2219, 4198]"
19,"[761, 48, 2138, 1270, 4911, 5058, 5707, 3004, 5121, 5639, 3261, 1689, 1437, 1418, 4071, 5193, 1529, 2835, 376, 1222, 5414, 5515, 4727, 2339, 2673, 3049, 5180, 4841, 4195, 4224, 1467, 5140, 5274, 5128, 2563, 3401, 1121, 3498, 197, 4210, 707, 5475, 3161, 5185, 3896, 2560, 2683, 5077, 4778, 3420, 1860, 1340, 2304, 2510, 2376, 33, 4585, 994, 4902, 3192, 4692, 23, 2097, 1942, 1029, 357, 4594, 4076, 2845, 3708, 4879, 1658, 2754, 4131, 5770, 5774, 5373, 4632, 864, 373, 2475, 3278, 3955, 515, 2326, 4992, 5224, 5533, 1434, 4099, 4367, 2662, 566, 4202, 2291, 3296, 4205, 5437, 4465, 1510]"
20,"[4875, 340, 4689, 1591, 3920, 2952, 3976, 4441, 2687, 750, 328, 5590, 1462, 2136, 5695, 669, 3739, 2142, 640, 3543, 3082, 5562, 3803, 2191, 4528, 2134, 1109, 2679, 1271, 1372, 3926, 389, 2564, 2457, 2092, 3329, 2513, 3072, 1085, 986, 2954, 1480, 5502, 1224, 3700, 2867, 2268, 4849, 2842, 2505, 1701, 4162, 1024, 1163, 3279, 5285, 4729, 3336, 915, 4074, 4396, 2777, 2659, 2100, 4302, 4115, 4616, 944, 4890, 5019, 416, 4718, 5189, 2844, 3461, 4422, 5399, 709, 5663, 2831, 135, 2727, 2672, 2737, 5604, 4129, 1530, 5518, 5470, 494, 3671, 683, 152, 2968, 3379, 5617, 2243, 4595, 5427, 2106]"
